Modelo,Accuracy,Precision,Recall,F1,Tiempo (s),n_estimators,max_depth,min_samples_split
RF_BASE | n=100 d=None mss=2,0.8958,0.6559,0.2294,0.3399,3.33,100,,2
RF_exp03 | n=50 d=20 mss=10,0.8966,0.6923,0.2098,0.3221,1.37,50,20,10
RF_exp09 | n=200 d=20 mss=2,0.8961,0.6816,0.2105,0.3216,10.33,200,20,2
RF_exp06 | n=100 d=20 mss=5,0.8963,0.6913,0.206,0.3175,4.46,100,20,5
RF_exp02 | n=50 d=10 mss=5,0.896,0.7311,0.1764,0.2843,0.83,50,10,5
RF_exp08 | n=200 d=10 mss=10,0.8958,0.7326,0.1727,0.2794,6.0,200,10,10
RF_exp05 | n=100 d=10 mss=2,0.8956,0.7342,0.1689,0.2746,1.7,100,10,2
RF_exp04 | n=100 d=5 mss=10,0.8934,0.7358,0.1386,0.2333,1.03,100,5,10
RF_exp07 | n=200 d=5 mss=5,0.8935,0.7465,0.1355,0.2293,3.72,200,5,5
RF_exp01 | n=50 d=5 mss=2,0.893,0.7446,0.1304,0.222,0.47,50,5,2
