Modelo,Accuracy,Precision,Recall,F1,Tiempo (s),C,gamma,kernel
SVM_exp01 | C=0.1 g=0.001 k=linear,0.3462,0.097,0.552,0.165,3.02,0.1,0.001,linear
SVM_exp02 | C=0.1 g=0.01 k=linear,0.3462,0.097,0.552,0.165,3.05,0.1,0.01,linear
SVM_BASE | C=1 g=scale k=rbf,0.2097,0.0933,0.6604,0.1636,6.08,1.0,scale,rbf
SVM_exp03 | C=1 g=0.001 k=linear,0.2803,0.0934,0.5917,0.1613,2.2,1.0,0.001,linear
SVM_exp04 | C=1 g=0.1 k=linear,0.2803,0.0934,0.5917,0.1613,2.28,1.0,0.1,linear
SVM_exp09 | C=1 g=0.01 k=rbf,0.2448,0.0907,0.6043,0.1577,5.63,1.0,0.01,rbf
SVM_exp07 | C=0.1 g=0.01 k=rbf,0.7338,0.1246,0.2117,0.1569,9.54,0.1,0.01,rbf
SVM_exp06 | C=0.1 g=0.001 k=rbf,0.2116,0.0894,0.6244,0.1564,5.77,0.1,0.001,rbf
SVM_exp08 | C=1 g=0.001 k=rbf,0.2117,0.0893,0.6238,0.1562,15.14,1.0,0.001,rbf
SVM_exp05 | C=10 g=0.001 k=linear,0.4536,0.0869,0.3863,0.1419,1.75,10.0,0.001,linear
